time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1738.6798706054688,3618.568603515625,1.7241548299789429,367.0,25.0,0,0
1738.70068359375,3619.492919921875,1.7269576787948608,367.0,25.0,1,0
1738.7214965820312,3618.357177734375,1.723909854888916,367.0,25.0,2,0
1738.7423706054688,3617.88818359375,1.7237305641174316,367.0,25.0,3,0
1738.76318359375,3615.38330078125,1.723250389099121,367.0,25.0,4,0
1738.7839965820312,3617.135009765625,1.7238011360168457,367.0,25.0,5,0
1738.8048706054688,3614.874755859375,1.7236329317092896,367.0,25.0,6,0
1738.82568359375,3608.8662109375,1.7220733165740967,367.0,25.0,7,0
1738.8464965820312,3608.881103515625,1.722206950187683,367.0,25.0,8,0
1738.8673706054688,3603.32568359375,1.7217479944229126,367.0,25.0,9,0
1738.88818359375,3595.231201171875,1.7192386388778687,367.0,25.0,10,0
1738.9089965820312,3597.494384765625,1.7192654609680176,367.0,25.0,11,0
1738.9298706054688,3595.61767578125,1.7198679447174072,367.0,25.0,12,0
1738.95068359375,3594.00390625,1.7190158367156982,367.0,25.0,13,0
1738.9714965820312,3595.6162109375,1.7191320657730103,367.0,25.0,14,0
1738.9923706054688,3594.037841796875,1.7184906005859375,367.0,25.0,15,0
1739.01318359375,3598.2021484375,1.7202177047729492,367.0,25.0,16,0
1739.0339965820312,3595.880615234375,1.7215460538864136,367.0,25.0,17,0
1739.0548706054688,3605.496337890625,1.7226345539093018,367.0,25.0,18,0
1739.07568359375,3608.36376953125,1.723109245300293,367.0,25.0,19,0
1739.0964965820312,3612.6533203125,1.7227863073349,367.0,25.0,20,0
1739.1173706054688,3600.80517578125,1.7199362516403198,367.0,25.0,21,0
1739.13818359375,3584.8134765625,1.7171261310577393,367.0,25.0,22,0
1739.1589965820312,3587.72900390625,1.7174034118652344,367.0,25.0,23,0
1739.1798706054688,3590.384521484375,1.7179936170578003,367.0,25.0,24,0
1739.20068359375,3597.7939453125,1.7193289995193481,367.0,25.0,25,0
1739.2214965820312,3598.078369140625,1.719369649887085,367.0,25.0,26,0
1739.2423706054688,3603.5224609375,1.7212374210357666,367.0,25.0,27,0
1739.26318359375,3607.403564453125,1.7233425378799438,367.0,25.0,28,0
1739.2839965820312,3604.753173828125,1.7211973667144775,367.0,25.0,29,0
1739.3048706054688,3607.220458984375,1.7223618030548096,367.0,25.0,30,0
1739.32568359375,3603.007080078125,1.7207250595092773,367.0,25.0,31,0
1739.3464965820312,3597.793212890625,1.7192264795303345,367.0,25.0,32,0
1739.3673706054688,3600.250732421875,1.7207857370376587,367.0,25.0,33,0
1739.38818359375,3601.983642578125,1.7202863693237305,367.0,25.0,34,0
1739.4089965820312,3604.470703125,1.7211267948150635,367.0,25.0,35,0
1739.4298706054688,3605.886962890625,1.7231848239898682,367.0,25.0,36,0
1739.45068359375,3601.439697265625,1.7203437089920044,367.0,25.0,37,0
1739.4714965820312,3601.38818359375,1.7203084230422974,367.0,25.0,38,0
1739.4923706054688,3602.58447265625,1.7206391096115112,367.0,25.0,39,0
1739.51318359375,3595.6337890625,1.7197860479354858,367.0,25.0,40,0
1739.5339965820312,3600.897216796875,1.7202112674713135,367.0,25.0,41,0
1739.5548706054688,3603.641357421875,1.720914363861084,367.0,25.0,42,0
1739.57568359375,3606.513427734375,1.7214012145996094,367.0,25.0,43,0
1739.5964965820312,3604.76123046875,1.7214503288269043,367.0,25.0,44,0
1739.6173706054688,3602.871826171875,1.721251368522644,367.0,25.0,45,0
1739.63818359375,3601.488525390625,1.7208112478256226,367.0,25.0,46,0
1739.6589965820312,3602.83984375,1.7206019163131714,367.0,25.0,47,0
1739.6798706054688,3600.229736328125,1.719982385635376,367.0,25.0,48,0
1739.70068359375,3601.1650390625,1.7208120822906494,367.0,25.0,49,0
1739.7214965820312,3602.12646484375,1.7208104133605957,367.0,25.0,50,0
1739.7423706054688,3608.478271484375,1.721790075302124,367.0,25.0,51,0
1739.76318359375,3606.984130859375,1.7218679189682007,367.0,25.0,52,0
1739.7839965820312,3604.17041015625,1.7215102910995483,367.0,25.0,53,0
1739.8048706054688,3607.34521484375,1.7218594551086426,367.0,25.0,54,0
1739.82568359375,3600.69140625,1.7203587293624878,367.0,25.0,55,0
1739.8464965820312,3603.060546875,1.7206811904907227,367.0,25.0,56,0
1739.8673706054688,3600.371337890625,1.7200801372528076,367.0,25.0,57,0
1739.88818359375,3609.15625,1.722237229347229,367.0,25.0,58,0
1739.9089965820312,3606.010009765625,1.72141432762146,367.0,25.0,59,0
1739.9298706054688,3601.65966796875,1.7208092212677002,367.0,25.0,60,0
1739.95068359375,3604.43212890625,1.7212820053100586,367.0,25.0,61,0
1739.9714965820312,3597.49462890625,1.719366192817688,367.0,25.0,62,0
1739.9923706054688,3601.47412109375,1.7221651077270508,367.0,25.0,63,0
1740.01318359375,3601.495849609375,1.7211852073669434,367.0,25.0,64,0
1740.0339965820312,3604.684814453125,1.7213243246078491,367.0,25.0,65,0
1740.0548706054688,3604.118896484375,1.7209709882736206,367.0,25.0,66,0
1740.07568359375,3601.364990234375,1.7202606201171875,367.0,25.0,67,0
1740.0964965820312,3605.3857421875,1.7215551137924194,367.0,25.0,68,0
1740.1173706054688,3601.911376953125,1.7202636003494263,367.0,25.0,69,0
1740.13818359375,3604.751220703125,1.7211064100265503,367.0,25.0,70,0
1740.1589965820312,3603.275146484375,1.7207894325256348,367.0,25.0,71,0
1740.1798706054688,3600.242431640625,1.719954252243042,367.0,25.0,72,0
1740.20068359375,3605.641845703125,1.7214844226837158,367.0,25.0,73,0
