time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
1928.1202392578125,nan,0.0,nan,nan,0,2048
1928.1410522460938,nan,0.0,nan,nan,1,2048
1928.1619262695312,nan,0.0,nan,nan,2,2048
1928.1827392578125,nan,0.0,nan,nan,3,2048
1928.2035522460938,nan,0.0,nan,nan,4,2048
1928.2244262695312,nan,0.0,nan,nan,5,2048
1928.2452392578125,nan,0.0,nan,nan,6,2048
1928.2660522460938,nan,0.0,nan,nan,7,2048
1928.2869262695312,nan,0.0,nan,nan,8,2048
1928.3077392578125,nan,0.0,nan,nan,9,2048
1928.3285522460938,nan,0.0,nan,nan,10,2048
1928.3494262695312,nan,0.0,nan,nan,11,2048
1928.3702392578125,nan,0.0,nan,nan,12,2048
1928.3910522460938,nan,0.0,nan,nan,13,2048
1928.4119262695312,nan,0.0,nan,nan,14,2048
1928.4327392578125,nan,0.0,nan,nan,15,2048
1928.4535522460938,nan,0.0,nan,nan,16,2048
1928.4744262695312,nan,0.0,nan,nan,17,2048
1928.4952392578125,nan,0.0,nan,nan,18,2048
1928.5160522460938,nan,0.0,nan,nan,19,2048
1928.5369262695312,nan,0.0,nan,nan,20,2048
1928.5577392578125,nan,0.0,nan,nan,21,2048
1928.5785522460938,nan,0.0,nan,nan,22,2048
1928.5994262695312,nan,0.0,nan,nan,23,2048
1928.6202392578125,nan,0.0,nan,nan,24,2048
1928.6410522460938,nan,0.0,nan,nan,25,2048
1928.6619262695312,nan,0.0,nan,nan,26,2048
1928.6827392578125,nan,0.0,nan,nan,27,2048
1928.7035522460938,nan,0.0,nan,nan,28,2048
1928.7244262695312,nan,0.0,nan,nan,29,2048
1928.7452392578125,nan,0.0,nan,nan,30,2048
1928.7660522460938,nan,0.0,nan,nan,31,2048
1928.7869262695312,nan,0.0,nan,nan,32,2048
1928.8077392578125,nan,0.0,nan,nan,33,2048
1928.8285522460938,nan,0.0,nan,nan,34,2048
1928.8494262695312,nan,0.0,nan,nan,35,2048
1928.8702392578125,nan,0.0,nan,nan,36,2048
1928.8910522460938,nan,0.0,nan,nan,37,2048
1928.9119262695312,nan,0.0,nan,nan,38,2048
1928.9327392578125,nan,0.0,nan,nan,39,2048
1928.9535522460938,33501.07421875,5.044638156890869,702.9818363304581,1923.2394425172934,40,2048
1928.9744262695312,27749.3125,4.597079277038574,702.9780089920583,1923.2374902763638,41,2048
1928.9952392578125,25458.755859375,4.406551837921143,702.9758725682462,1923.2364676575924,42,2048
1929.0160522460938,24170.14453125,4.295687198638916,702.9746017491233,1923.2355611229116,43,2048
1929.0369262695312,23437.697265625,4.231622219085693,702.973370099135,1923.2351557707723,44,2048
1929.0577392578125,23061.412109375,4.197628974914551,702.9718837939764,1923.2348306593562,45,2048
1929.0785522460938,22787.71484375,4.173076629638672,702.9727638375941,1923.2353569503168,46,2048
1929.0994262695312,22602.26171875,4.15680456161499,702.9720289935724,1923.2349330296383,47,2048
1929.1202392578125,22441.30078125,4.142735004425049,702.9710632016895,1923.2350875713428,48,2048
1929.1410522460938,22284.111328125,4.127602577209473,702.9708400437706,1923.2358829379818,49,2048
1929.1619262695312,22141.142578125,4.114946365356445,702.971003478659,1923.2352679652424,50,2048
1929.1827392578125,21954.916015625,4.0981364250183105,702.9709462982424,1923.2345500593947,51,2048
1929.2035522460938,21944.8515625,4.096828460693359,702.9701563462885,1923.234489817515,52,2048
1929.2244262695312,21816.0078125,4.085620880126953,702.9696342708497,1923.2345912136623,53,2048
1929.2452392578125,21747.7890625,4.079502105712891,702.9693192591058,1923.234220423628,54,2048
1929.2660522460938,21699.52734375,4.0765299797058105,702.969446991663,1923.234707879492,55,2048
1929.2869262695312,21610.98828125,4.066407203674316,702.9688671561577,1923.235034694626,56,2048
1929.3077392578125,21524.8828125,4.058134078979492,702.9680953592953,1923.2345695252768,57,2048
1929.3285522460938,21427.9765625,4.049293518066406,702.9686726264329,1923.2350429978733,58,2048
1929.3494262695312,21349.177734375,4.042044162750244,702.9687718048275,1923.2343833751465,59,2048
1929.3702392578125,21253.875,4.033201217651367,702.9684335365683,1923.2346382677092,60,2048
1929.3910522460938,21184.31640625,4.026679992675781,702.9673441437089,1923.2339949218033,61,2048
1929.4119262695312,21084.4609375,4.017297267913818,702.9673194973639,1923.2340124618768,62,2048
1929.4327392578125,21009.791015625,4.0102314949035645,702.9676621660678,1923.2336273787157,63,2048
1929.4535522460938,20984.798828125,4.007807731628418,702.967200797415,1923.233740857989,64,2048
1929.4744262695312,20948.97265625,4.004673957824707,702.9672316913288,1923.234139381089,65,2048
1929.4953002929688,20945.736328125,4.0039963722229,702.9671707967118,1923.2339712656878,66,2048
1929.51611328125,20937.328125,4.003501892089844,702.9669528537174,1923.2333745486903,67,0
1929.5369262695312,20923.22265625,4.002323627471924,702.9673450132507,1923.2344052240846,68,0
1929.5578002929688,20907.73046875,4.001135349273682,702.9664829882189,1923.2333577157933,69,0
1929.57861328125,20885.63671875,3.99867844581604,702.9667146820585,1923.2340240344413,70,0
1929.5994262695312,20899.25,3.9997165203094482,702.966879301702,1923.2335899604277,71,0
1929.6203002929688,20873.751953125,3.9998979568481445,702.9665176230128,1923.2332138401614,72,0
1929.64111328125,20819.6640625,3.9933478832244873,702.9671160490177,1923.2338707335914,73,0
1929.6619262695312,20871.619140625,3.9975745677948,702.9661550958524,1923.2328179156823,74,0
1929.6828002929688,20855.0703125,3.9962663650512695,702.966917798392,1923.2328548068347,75,0
1929.70361328125,20837.53515625,3.994039535522461,702.9663380001421,1923.233094636163,76,0
